名称,地址,电话,营业时间
佐敦道,九龍佐敦道26E號寶輝閣地下,2791 0365,星期一至日: 08:00-02:00
遠東,九龍彌敦道204-206號遠東商業大廈地庫,2199 7923,星期一至日: 08:30-22:00
宏福花園,新界青衣青敬路75號宏福花園地下7號舖,2757 0317,星期一至日: 08:00-21:00
海景閣,九龍上海街 55 號海景閣地下A舖,2375 5174,星期一至日: 08:00-21:00
柯士甸道,九龍柯士甸道45-53號地庫,2730 2501,星期一至日: 08:30-23:00
金巴利道,九龍尖沙金咀金巴利道53-54號地下,3105 2457,星期一至日: 08:00-02:00
偉景花園,新界青衣青綠街偉景花園商業中心1-7號地下,2435 6564,星期一至日: 08:00-21:00
港濤軒,"香港北角馬寶道61-63 號港濤軒地下 3,4,6 及 7 號舖",2814 8365,星期一至日: 08:30-22:00
健威花園,香港北角英皇道560號健威商場UG層14號舖,3583 4260,星期一至日: 08:00-22:00
健康,香港北角七姊妹道188號健康村B號,2214 0344,星期一至日: 08:00-22:00
其士大廈,九龍尖沙咀漆咸道南45-51號其士大廈地下C號舖及部份D號舖,2713 2178,星期一至日: 08:30-22:00
青衣,新界青衣青衣村青衣商場2樓4號舖,2435 0324,星期一至日: 08:00-21:30
長青,新界青衣長青村長青商業中心地下T1-T5號,2495 2413,星期一至日: 08:30-20:30
長康,新界青衣長康村長康商場地下 103 號舖,2436 4257,星期一至日: 08:00-22:30
帝后廣場,九龍漆咸道南17-19號帝后廣埸地舖,3971 0291,星期一至日: 08:30-22:00
北角新都城,香港北角英皇道416-426號新都城大廈,2564 0803,星期一至日: 08:00-23:00
北角,香港北角英皇道 338 號華懋交易廣場二期地下,2508 6197,星期一至日: 08:00-23:00
城市花園,"香港電器道233號,城市花園商場第七座地下,20,21,23,24,26-28,30-33號舖",3580 7319,星期一至日: 08:30-22:00
美景,新界青衣美景花園商業中心北座第2期26-27號,2432 0241,星期一至日: 08:30-22:00
泰山,香港太古城天山閣地下G3 & G4室,2885 3216,星期一至日: 08:00-22:00
長亨,新界青衣長亨村長亨商場LG202號,2434 0459,星期一至日: 08:00-22:00
金福,香港北角英皇道鰂魚涌新威園地下 989-992號B舖,2115 9934,星期一至日: 08:00-23:00
鯉景灣,香港西灣河太康街35號鯉景灣C 期GC19-21號舖,2815 6029,星期一至日: 08:00-21:00
康澤花園,香港北角英皇道238號康澤花園地下,2571 6421,"08:00-22:00 (Mon-Fri) 09:00-21:00 (Sat, Sun &PH)"
栢蕙苑,香港鰂魚涌英皇道1060號栢蕙苑高層地下A舖,2109 3393,星期一至日: 08:00-22:00
維多利亞,香港北角屈臣道15號維多利中心地下25號店舖,3105 1578,星期一至日: 10:00-20:00
太安樓,香港筲箕灣道57-87號太安樓地下G26-G31號舖,2576 5708,星期一至日: 08:00-22:00
水星街,香港北角水星街2-9號耀星華庭地下2-9號舖,2571 4869,星期一至日: 08:00-22:00
愛蝶灣,香港筲箕灣愛禮街 2 號愛蝶灣商場一樓 60 號舖,2818 5837,星期一至日: 08:00-21:30
港島‧東,"香港西灣河成安街18號港島‧東18地下G03B, G04B, G05, G06A號舖",2567 1021,星期一至日: 08:30-21:30
